week_start,customer_id,customer_name,sku_id,category_id,category,sales_dollars,units,avg_price,promo_flag,acv_distribution_pct,velocity_units_per_store,syndicated_share_pct,competitor_share_pct,category_growth_pct,retailer_scan_units,panel_repeat_rate_pct
2025-10-06,CUST01,Central Market Group,CAT01-SKU01,CAT01,Functional Beverages,950.13,151,6.29,0,91.3,11.75,43.5,32.2,13.8,142,8.7
2025-10-06,CUST01,Central Market Group,CAT01-SKU02,CAT01,Functional Beverages,498.5,61,8.17,0,80.2,4.75,38.3,29.3,12.8,64,44.9
2025-10-06,CUST01,Central Market Group,CAT01-SKU03,CAT01,Functional Beverages,1416.26,145,9.77,1,87.2,11.28,40.7,30.9,6.4,145,29.7
2025-10-06,CUST01,Central Market Group,CAT01-SKU04,CAT01,Functional Beverages,1845.06,157,11.75,0,73.7,12.22,31.9,26.5,16.3,153,32.4
2025-10-06,CUST01,Central Market Group,CAT01-SKU05,CAT01,Functional Beverages,1440.24,156,9.23,0,97.5,12.14,34.8,33.9,12.9,166,19.7
2025-10-06,CUST01,Central Market Group,CAT01-SKU06,CAT01,Functional Beverages,1186.44,175,6.78,0,83.2,13.62,34.3,27.5,17.4,181,32.9
2025-10-06,CUST01,Central Market Group,CAT02-SKU01,CAT02,Better-for-You Snacks,1841.04,221,8.33,1,81.7,17.2,36.5,37.2,13.3,224,38.7
2025-10-06,CUST01,Central Market Group,CAT02-SKU02,CAT02,Better-for-You Snacks,607.24,125,4.86,0,90.5,9.73,28.0,25.8,11.2,115,30.2
2025-10-06,CUST01,Central Market Group,CAT02-SKU03,CAT02,Better-for-You Snacks,893.73,103,8.68,0,93.8,8.02,41.6,37.0,11.9,110,23.8
2025-10-06,CUST01,Central Market Group,CAT02-SKU04,CAT02,Better-for-You Snacks,1352.04,110,12.29,0,84.5,8.56,30.8,26.7,5.1,115,15.0
2025-10-06,CUST01,Central Market Group,CAT02-SKU05,CAT02,Better-for-You Snacks,1219.65,159,7.67,0,89.0,12.37,25.8,25.1,7.3,164,20.8
2025-10-06,CUST01,Central Market Group,CAT02-SKU06,CAT02,Better-for-You Snacks,2493.54,199,12.53,0,90.2,15.49,34.1,39.4,7.7,197,33.8
2025-10-06,CUST01,Central Market Group,CAT03-SKU01,CAT03,Plant-Based Meals,660.09,118,5.59,0,85.5,9.18,18.9,21.3,6.3,113,24.5
2025-10-06,CUST01,Central Market Group,CAT03-SKU02,CAT03,Plant-Based Meals,666.05,57,11.69,0,70.1,4.44,35.6,30.2,9.0,58,19.3
